Name,Default,Condition,Preference,Description
NetIncomeAttributableToParent,0,not NetIncomeAttributableToParent and not NetIncomeAttributableToNoncontrollingInterest and NetIncomeLoss,NetIncomeLoss,
PreferredStockDividendsAndOtherAdjustments,0,not PreferredStockDividendsAndOtherAdjustments and NetIncomeAttributableToParent and NetIncomeAvailableToCommonStockholdersBasic,eval(NetIncomeAttributableToParent - NetIncomeAvailableToCommonStockholdersBasic),
ComprehensiveIncome,0,not ComprehensiveIncomeAttributableToParent and not ComprehensiveIncomeAttributableToNoncontrollingInterest and not ComprehensiveIncome and not OtherComprehensiveIncome,NetIncomeLoss,
OtherComprehensiveIncome,0,ComprehensiveIncome and not OtherComprehensiveIncome,eval(ComprehensiveIncome - NetIncomeLoss),
ComprehensiveIncomeAttributableToParent,0,not ComprehensiveIncomeAttributableToParent and not ComprehensiveIncomeAttributableToNoncontrollingInterest and ComprehensiveIncome,ComprehensiveIncome,
IncomeFromContinuingOperationsBeforeTax,0,IncomeBeforeEquityMethodInvestments and IncomeFromEquityMethodInvestments and not IncomeFromContinuingOperationsBeforeTax,eval(IncomeBeforeEquityMethodInvestments + IncomeFromEquityMethodInvestments),
IncomeFromContinuingOperationsBeforeTax,0,not IncomeFromContinuingOperationsBeforeTax and IncomeFromContinuingOperationsAfterTax,eval(IncomeFromContinuingOperationsAfterTax + IncomeTaxExpenseBenefit),
IncomeFromContinuingOperationsAfterTax,0,not IncomeFromContinuingOperationsAfterTax and (IncomeTaxExpenseBenefit or not IncomeTaxExpenseBenefit) and IncomeFromContinuingOperationsBeforeTax,eval(IncomeFromContinuingOperationsBeforeTax - IncomeTaxExpenseBenefit),
GrossProfit,0,not GrossProfit and Revenues and CostOfRevenue,eval(GrossProfit - CostOfRevenue),
GrossProfit,0,not GrossProfit and Revenues and CostOfRevenue,eval(Revenues - CostOfRevenue),
Revenues,0,not GrossProfit and not Revenues and CostOfRevenue,eval(GrossProfit + CostOfRevenue),
CostOfRevenue,0,GrossProfit and Revenues and not CostOfRevenue,eval(GrossProfit + Revenues),
CostsAndExpenses,0,not GrossProfit and not CostsAndExpenses and CostOfRevenue and OperatingExpenses,eval(CostOfRevenue + OperatingExpenses),
CostsAndExpenses,0,not CostsAndExpenses and OperatingExpenses and CostOfRevenue,eval(CostOfRevenue + OperatingExpenses),
CostsAndExpenses,0,not GrossProfit and not CostsAndExpenses and Revenues and OperatingIncomeLoss and OtherOperatingIncome,eval(Revenues - OperatingIncomeLoss - OtherOperatingIncome),
OperatingExpenses,0,CostOfRevenue and CostsAndExpenses and not OperatingExpenses,eval(CostsAndExpenses - CostOfRevenue),
CostOfRevenue,0,Revenues and not GrossProfit and (Revenues - CostsAndExpenses == OperatingIncomeLoss) and not OperatingExpenses and not OtherOperatingIncome,eval(CostsAndExpenses - OperatingExpenses),
IncomeBeforeEquityMethodInvestments,0,not IncomeBeforeEquityMethodInvestments and IncomeFromContinuingOperationsBeforeTax,eval(IncomeFromContinuingOperationsBeforeTax - IncomeFromEquityMethodInvestments),
InterestAndDebtExpense,0,OperatingIncomeLoss and NonoperatingIncomeLoss and not InterestAndDebtExpense and IncomeBeforeEquityMethodInvestments,eval(IncomeBeforeEquityMethodInvestments - (OperatingIncomeLoss + NonoperatingIncomeLoss),
OtherOperatingIncome,0,GrossProfit and OperatingExpenses and OperatingIncomeLoss,eval(OperatingIncomeLoss - (GrossProfit - OperatingExpenses)),
IncomeBeforeEquityMethodInvestments,0,IncomeFromEquityMethodInvestments and IncomeBeforeEquityMethodInvestments and IncomeBeforeEquityMethodInvestments != IncomeFromContinuingOperationsBeforeTax,eval(IncomeFromContinuingOperationsBeforeTax - IncomeFromEquityMethodInvestments),
OperatingIncomeLoss,0,IncomeFromEquityMethodInvestments and IncomeBeforeEquityMethodInvestments and IncomeBeforeEquityMethodInvestments != IncomeFromContinuingOperationsBeforeTax,eval(OperatingIncomeLoss - IncomeFromEquityMethodInvestments),
OperatingIncomeLoss,0,not OperatingIncomeLoss and IncomeBeforeEquityMethodInvestments,eval(IncomeBeforeEquityMethodInvestments + NonoperatingIncomeLoss - InterestAndDebtExpense),"DANGEROUS!! May need to turn off. IS3 had 2085 PASSES WITHOUT this imputing. if it is higher,: keep the test"
NonoperatingIncomePlusInterestAndDebtExpensePlusIncomeFromEquityMethodInvestments,0,,eval(IncomeFromContinuingOperationsBeforeTax - OperatingIncomeLoss),
NonoperatingIncomeLossPlusInterestAndDebtExpense,0,not NonoperatingIncomeLossPlusInterestAndDebtExpense and NonoperatingIncomePlusInterestAndDebtExpensePlusIncomeFromEquityMethodInvestments,eval(NonoperatingIncomePlusInterestAndDebtExpensePlusIncomeFromEquityMethodInvestments - IncomeFromEquityMethodInvestments),
lngIS1,0,,eval((Revenues - CostOfRevenue) - GrossProfit),
lngIS2,0,,eval((GrossProfit - OperatingExpenses + OtherOperatingIncome) - OperatingIncomeLoss),
lngIS3,0,,eval((OperatingIncomeLoss + NonoperatingIncomeLossPlusInterestAndDebtExpense) - IncomeBeforeEquityMethodInvestments),
lngIS4,0,,eval((IncomeBeforeEquityMethodInvestments + IncomeFromEquityMethodInvestments) - IncomeFromContinuingOperationsBeforeTax),
lngIS5,0,,eval((IncomeFromContinuingOperationsBeforeTax - IncomeTaxExpenseBenefit) - IncomeFromContinuingOperationsAfterTax),
lngIS6,0,,eval((IncomeFromContinuingOperationsAfterTax + IncomeFromDiscontinuedOperations + ExtraordaryItemsGainLoss) - NetIncomeLoss),
lngIS7,0,,eval((NetIncomeAttributableToParent + NetIncomeAttributableToNoncontrollingInterest) - NetIncomeLoss),
lngIS8,0,,eval((NetIncomeAttributableToParent - PreferredStockDividendsAndOtherAdjustments) - NetIncomeAvailableToCommonStockholdersBasic),
lngIS9,0,,eval((ComprehensiveIncomeAttributableToParent + ComprehensiveIncomeAttributableToNoncontrollingInterest) - ComprehensiveIncome),
lngIS10,0,,eval((NetIncomeLoss + OtherComprehensiveIncome) - ComprehensiveIncome),
lngIS11,0,,eval(OperatingIncomeLoss - (Revenues - CostsAndExpenses + OtherOperatingIncome)),
NetCashFlow,,,"us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease|Duration,us-gaap:CashPeriodIncreaseDecrease|Duration,us-gaap:NetCashProvidedByUsedInContinuingOperations|Duration",
NetCashFlowsOperating,,,us-gaap:NetCashProvidedByUsedInOperatingActivities|Duration,
NetCashFlowsInvesting,,,us-gaap:NetCashProvidedByUsedInInvestingActivities|Duration,
NetCashFlowsFinancing,,,us-gaap:NetCashProvidedByUsedInFinancingActivities|Duration,
NetCashFlowsOperatingContinuing,,,us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations|Duration,
NetCashFlowsInvestingContinuing,,,us-gaap:NetCashProvidedByUsedInInvestingActivitiesContinuingOperations|Duration,
NetCashFlowsFinancingContinuing,,,us-gaap:NetCashProvidedByUsedInFinancingActivitiesContinuingOperations|Duration,
NetCashFlowsOperatingDiscontinued,,,us-gaap:CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations|Duration,
NetCashFlowsInvestingDiscontinued,,,us-gaap:CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations|Duration,
NetCashFlowsFinancingDiscontinued,,,us-gaap:CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations|Duration,
NetCashFlowsDiscontinued,,,us-gaap:NetCashProvidedByUsedInDiscontinuedOperations|Duration,
ExchangeGainsLosses,,,"us-gaap:EffectOfExchangeRateOnCashAndCashEquivalents|Duration,us-gaap:EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations|Duration,us-gaap:CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations|Duration",
NetCashFlowsDiscontinued,,not NetCashFlowsDiscontinued,eval(NetCashFlowsOperatingDiscontinued + NetCashFlowsInvestingDiscontinued + NetCashFlowsFinancingDiscontinued),
NetCashFlowsOperatingContinuing,,NetCashFlowsOperating and not NetCashFlowsOperatingContinuing,eval(NetCashFlowsOperating - NetCashFlowsOperatingDiscontinued),
NetCashFlowsInvestingContinuing,,NetCashFlowsInvesting and not NetCashFlowsInvestingContinuing,eval(NetCashFlowsInvesting - NetCashFlowsInvestingDiscontinued),
NetCashFlowsFinancingContinuing,,NetCashFlowsFinancing and not NetCashFlowsFinancingContinuing,eval(NetCashFlowsFinancing - NetCashFlowsFinancingDiscontinued),
NetCashFlowsOperating,,NetCashFlowsOperating==0 and NetCashFlowsOperatingContinuing and NetCashFlowsOperatingDiscontinued==0,NetCashFlowsOperatingContinuing,
NetCashFlowsInvesting,,NetCashFlowsInvesting==0 and NetCashFlowsInvestingContinuing and NetCashFlowsInvestingDiscontinued==0,NetCashFlowsInvestingContinuing,
NetCashFlowsFinancing,,NetCashFlowsFinancing==0 and NetCashFlowsFinancingContinuing and NetCashFlowsFinancingDiscontinued==0,NetCashFlowsFinancingContinuing,
NetCashFlowsContinuing,,,eval(NetCashFlowsOperatingContinuing + NetCashFlowsInvestingContinuing + NetCashFlowsFinancingContinuing),
NetCashFlow,,NetCashFlow==0 and (NetCashFlowsOperating or NetCashFlowsInvesting or NetCashFlowsFinancing),eval(NetCashFlowsOperating + NetCashFlowsInvesting + NetCashFlowsFinancing),
SGR,,,eval(((NetIncomeLoss / Revenues) * (1 + ((Assets - Equity) / Equity))) / ((1 / (Revenues / Assets)) - (((NetIncomeLoss / Revenues) * (1 + (((Assets - Equity) / Equity))))))),
ROA,,,eval(NetIncomeLoss / Assets),
ROE,,,eval(NetIncomeLoss / Equity),
ROS,,,eval(NetIncomeLoss / Revenues),
